#
#   VizieR Astronomical Server vizier.hia.nrc.ca
#    Date: 2016-09-14T21:47:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57d9c09c3917	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=I/239/hip_va_1
#-nav=cat:I/239&tab:{I/239/hip_va_1}&key:source=I/239/hip_va_1&HTTPPRM:&&-ref=VIZ57d9c09c3917&-out.max=unlimited&-out.form=ascii - 999%27filled&-oc.form=sexa&-order=I&-out=HIP&-out=SpType&-out=VarType&VarType=~*cep*&-out=maxMag&-out=l_minMag&-out=minMag&-out=Period&-out=Notes&-out=VarName&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=I/239/hip_va_1
#-source=I/239/hip_va_1
#-order=I
#-out=HIP
#-out=SpType
#-out=VarType
#VarType=~*cep*
#-out=maxMag
#-out=l_minMag
#-out=minMag
#-out=Period
#-out=Notes
#-out=VarName
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Table	I_239_hip_va_1:
#Name: I/239/hip_va_1
#Title: Variability Annex: Periodic variables
#Column	HIP	(I6)	Identifier (HIP) (P1)	[ucd=meta.id;meta.main]
#Column	SpType	(a12)	Spectral type (P3)	[ucd=src.spType]
#Column	VarType	(a6)	*Variability type as in GCVS/NSV (P5)	[ucd=meta.code;src.var]
#Column	maxMag	(F6.3)	Magnitude at max from curve fitting (P7)	[ucd=phot.mag]
#Column	l_minMag	(A1)	*[>] Limit flag (>) (P8)	[ucd=meta.code.error]
#Column	minMag	(F6.3)	Magnitude at min from curve fitting (P9)	[ucd=phot.mag]
#Column	Period	(F12.7)	? Mean period in days (P11)	[ucd=time.period]
#Column	Notes	(A1)	*[DGPWXYZ] Existence of notes (P16)	[ucd=meta.note]
#Column	VarName	(a12)	Variable star name (P17)	[ucd=meta.id]
HIP;SpType;VarType;maxMag;l_minMag;minMag;Period;Notes;VarName
 ; ; ;mag; ;mag;d; ;
------;------------;------;------;-;------;------------;-;------------
  1067;B2IV        ;BCEP  ; 2.748; ; 2.761;   0.1517510; ;gam_Peg
  1162;F8Iab:      ;DCEP  ; 8.968; ; 9.594;   5.8097000; ;FM_Cas
  1213;F7          ;DCEP  ; 9.592; ;10.409;   4.0716000; ;SY_Cas
  2085;F5IIvar     ;CEP(B); 7.258; ; 8.164;   2.1390100;P;TU_Cas
  2347;G1Ibvar     ;DCEP  ; 8.815; ; 9.401;   8.0008000; ;DL_Cas
  3886;F6Ib-G2Ib   ;DCEP  ; 9.811; ;10.413;   4.5015000; ;XY_Cas
  5138;F9          ;DCEP  ;10.556; ;11.274;   5.9938000; ;VW_Cas
  5658;F9          ;DCEP  ;11.066; ;11.910;   4.2595000; ;UZ_Cas
  5846;F8          ;DCEP  ;10.678; ;11.445;   6.2723000; ;BP_Cas
  7192;G0Ib        ;DCEP  ; 7.237; ; 7.411;   8.3761000; ;V636_Cas
  7548;G0.5        ;DCEP  ; 8.708; ; 9.977;  14.7870000; ;RW_Cas
  8312;F6          ;DCEPS ;10.355; ;10.738;   3.2219000;P;BY_Cas
  8614;F9Ib        ;DCEP  ;10.440; ;11.358;   6.2069000; ;VV_Cas
  9928;F8          ;DCEP  ; 9.195; ; 9.810;  10.8870000; ;VX_Per
 10332;F9          ;DCEP  ;11.060; ;12.180;   4.5660000;P;UX_Per
 11174;F7Ib        ;DCEP  ; 6.367; ; 6.468;   7.5729000; ;V440_Per
 11420;F8Ibvar     ;DCEPS ; 9.726; ;10.120;  13.6360000; ;SZ_Cas
 11767;F7:Ib-IIv SB;DCEPS ; 2.093; ; 2.124;   3.9707000;P;alf_UMi
 12387;B2IV        ;BCEP  ; 3.993; ; 4.017;   0.1611390;P;del_Cet
 12817;G0.2:       ;DCEP  ;10.697; ;11.306;   3.8327000; ;DF_Cas
 13016;B1V         ;BCEP  ; 9.267; ; 9.454;   2.5807000;P;V792_Cas
 13367;F5:Ib-II    ;DCEPS ; 5.879; ; 6.299;   1.9493120; ;SU_Cas
 16516;B2IV        ;BCEP  ; 6.392; ; 6.461;   0.2017900;P;KP_Per
