#
#   VizieR Astronomical Server vizier.hia.nrc.ca
#    Date: 2016-09-14T22:06:08 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57d9c98101f3	
#INFO	-out.form=mini	
#INFO	-out.max=9999	
#INFO	queryParameters=20	
#-oc.form=dec
#-nav=cat:I/239&tab:{I/239/tyc_main}&key:source=I/239/tyc_main&HTTPPRM:&&-ref=VIZ57d9c98101f3&-oc.form=sexa&-c.r=  2&-c.geom=r&-order=I&-out=TYC&-out=RAhms&-out=DEdms&-out=Vmag&-out=RA(ICRS)&-out=DE(ICRS)&-out=HIP&-sort=HIP&-out=BTmag&-out=VTmag&-out=B-V&-ignore=EpPhot=*&EpPhot=EpPhot&-file=-sort&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=9999&-out.form=ascii table&-c.eq=J2000&-c.u=arcmin&
#-c.r=  2
#-c.geom=r
#-source=I/239/tyc_main
#-order=I
#-out=TYC
#-out=RAhms
#-out=DEdms
#-out=Vmag
#-out=RA(ICRS)
#-out=DE(ICRS)
#-out=HIP
#-sort=HIP
#-out=BTmag
#-out=VTmag
#-out=B-V
#-out.max=9999
#-c.eq=J2000
#-c.u=arcmin
#
#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_tyc_main:
#Name: I/239/tyc_main
#Title: The main part of Tycho Catalogue\vizContent{timeSerie}
#Column	TYC	(a12)	*TYC1-3 (TYC number) (T1)	[ucd=meta.id;meta.main]
#Column	RAhms	(a11)	Right ascension in h m s, ICRS (J1991.25) (T3)	[ucd=pos.eq.ra;meta.main]
#Column	DEdms	(a11)	Declination in deg ' ", ICRS (J1991.25) (T4)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (T5)	[ucd=phot.mag;em.opt.V]
#Column	RA(ICRS)	(F12.8)	*alpha, degrees (ICRS, Epoch=J1991.25) (T8)	[ucd=pos.eq.ra]
#Column	DE(ICRS)	(F12.8)	*delta, degrees (ICRS, Epoch=J1991.25) (T9)	[ucd=pos.eq.dec]
#Column	HIP	(I6)	? Hipparcos HIP number (T31) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	BTmag	(F6.3)	? Mean BT magnitude (T32)	[ucd=phot.mag;em.opt.B]
#Column	VTmag	(F6.3)	? Mean VT magnitude (T34)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (T37)	[ucd=phot.color;em.opt.B;em.opt.V]
TYC;RAhms;DEdms;Vmag;RA(ICRS);DE(ICRS);HIP;BTmag;VTmag;B-V
 ; ; ;mag;deg;deg; ;mag;mag;mag
------------;-----------;-----------;-----;------------;------------;------;------;------;------
1179  1775 1;00 13 14.15;+15 11 01.0; 2.84;  3.30895892; 15.18361594;  1067; 2.585; 2.803;-0.191
3661  1401 1;00 14 28.24;+56 15 10.6; 9.17;  3.61768528; 56.25294328;  1162;10.422; 9.277; 0.981
3665  1520 1;00 15 09.82;+58 25 27.5; 9.92;  3.79090449; 58.42429360;  1213;10.912;10.003; 0.794
3260  1095 1;00 26 19.45;+51 16 49.3; 7.80;  6.58102981; 51.28036941;  2085; 8.552; 7.864; 0.620
4015  2567 1;00 29 58.59;+60 12 43.1; 8.96;  7.49413684; 60.21196501;  2347;10.367; 9.078; 1.094
4016  1780 1;00 49 53.26;+60 07 38.6; 9.96; 12.47192480; 60.12738765;  3886;11.314;10.080; 1.051
4017   150 1;01 05 48.23;+61 45 17.7;10.68; 16.45094716; 61.75492109;  5138;11.872;10.778; 0.940
4030   749 1;01 12 41.17;+61 12 48.1;11.43; 18.17153202; 61.21336084;  5658;      ;      ;
4038    98 1;01 15 01.10;+65 35 57.9;10.75; 18.75458115; 65.59941931;  5846;12.556;10.906; 1.380
4035   298 1;01 32 43.22;+63 35 37.7; 7.18; 23.18010374; 63.59380571;  7192; 8.877; 7.325; 1.303
3679   639 1;01 37 14.02;+57 45 33.2; 9.24; 24.30842303; 57.75922020;  7548;10.619; 9.354; 1.075
4032  1097 1;01 47 11.92;+61 25 21.0;10.40; 26.79967089; 61.42249522;  8312;11.778;10.521; 1.069
3696   793 1;01 51 07.03;+59 53 17.6;10.53; 27.77927225; 59.88821136;  8614;11.756;10.640; 0.958
3697  3120 1;02 07 48.48;+58 26 36.8; 9.36; 31.95200112; 58.44354523;  9928;10.778; 9.482; 1.100
3693   128 1;02 13 07.22;+58 05 06.3;11.02; 33.28006340; 58.08508392; 10332;11.356;11.050; 0.285
3693   588 1;02 13 07.49;+58 04 47.9;11.42; 33.28120925; 58.07996584; 10332;      ;      ;
3690  2361 1;02 23 51.75;+55 21 53.5; 6.30; 35.96561400; 55.36486841; 11174; 7.339; 6.386; 0.829
3699  1635 1;02 27 13.77;+59 27 38.2; 9.83; 36.80735783; 59.46061394; 11420;11.936;10.016; 1.600
4628   237 1;02 31 47.08;+89 15 50.9; 2.00; 37.94616079; 89.26413807; 11767; 2.756; 2.067; 0.620
  46  1633 1;02 39 28.95;+00 19 42.7; 4.07; 39.87061825;  0.32851576; 12387; 3.800; 4.039;-0.209
4047   461 1;02 44 43.31;+61 27 52.9;10.74; 41.18046864; 61.46468914; 12817;12.131;10.863; 1.078
3712   413 1;02 47 22.33;+59 17 11.0; 9.24; 41.84303661; 59.28638354; 13016; 9.741; 9.287; 0.427
4313  1573 1;02 51 58.75;+68 53 18.7; 5.94; 42.99478610; 68.88851717; 13367; 6.782; 6.014; 0.683
