Name Period Type mag_3p6 err_3p6 amp_3p6 mag_4p5 err_4p5 amp_4p5 RA_ICRS DE_ICRS Plx e_Plx id_compare e_gks distance_pc mu_dist good_err A_v A_3p6 A_4p5 M_3p6 M_4p5 e_M_3p6_gks e_M_4p5_gks e_M_3p6_tgas e_M_4p5_tgas log_P logP_f
ABUma 0.6 ab 9.598 0.003 0.171 9.587 0.003 0.177 182.810685233 47.8287625932 0.93 0.27 abuma 0.18840618355 1075.2688172 10.1575852572 1.0 99.99 99.99 99.99 -0.55958525723 -0.57058525723 0.212911356634 0.217096643838 0.305117673186 0.311115498231 -0.221848749616 -0.221848749616
AMTuc 0.406 c 10.602 0.002 0.127 10.565 0.002 0.142 19.6279725728 -67.9181611997 0.85 0.26 amtuc 0.179413377428 1176.47058824 10.3529053714 1.0 99.99 99.99 99.99 0.249094628571 0.212094628571 0.0824883271386 0.0702356820225 0.119539376275 0.101783245066 -0.391473966423 -0.264473966423
ANSer 0.522 ab 9.801 0.004 0.289 9.795 0.004 0.299 238.379389573 12.9611045994 0.77 0.29 anser 0.206123288349 1298.7012987 10.5675463741 1.0 99.99 99.99 99.99 -0.766546374138 -0.772546374138 0.264186633842 0.266254506096 0.371690641306 0.374599981233 -0.282329496998 -0.282329496998
AVPeg 0.39 ab 9.332 0.004 0.281 9.329 0.004 0.281 328.011708075 22.5747913984 1.53 0.23 avpeg 0.151706591815 653.594771242 9.07654284591 1.0 99.99 99.99 99.99 0.255457154088 0.252457154088 0.128756281255 0.127244212284 0.195205351888 0.192912928125 -0.408935392974 -0.408935392974
BHPeg 0.641 ab 9.002 0.003 0.237 8.982 0.003 0.236 343.254215073 15.7876823287 1.4 0.22 bhpeg 0.142149358071 714.285714286 9.26935982161 1.0 99.99 99.99 99.99 -0.267359821609 -0.287359821609 0.115537648978 0.124180507167 0.178813880818 0.192190152627 -0.193141970481 -0.193141970481
BXLeo 0.363 c 10.678 0.002 0.107 10.67 0.002 0.122 174.508477934 16.5433304023 0.53 0.28 bxleo 0.19730544848 1886.79245283 11.378620652 1.0 99.99 99.99 99.99 -0.700620651996 -0.708620651996 0.159093466911 0.160910067363 0.225772594974 0.228350567512 -0.440093374964 -0.313093374964
CSEri 0.311 c 8.126 0.002 0.117 8.11 0.002 0.117 39.2745394351 -42.9633109894 2.16 0.23 cseri 0.151706591815 462.962962963 8.32773124425 1.0 99.99 99.99 99.99 -0.201731244245 -0.217731244245 0.143544220654 0.15492920738 0.217625148913 0.234885749275 -0.507239610973 -0.380239610973
DXDel 0.473 ab 8.653 0.004 0.249 8.641 0.004 0.258 311.868205017 12.4641079565 1.66 0.22 dxdel 0.142149358071 602.409638554 8.8994595598 1.0 99.99 99.99 99.99 -0.2464595598 -0.2584595598 0.126285402182 0.132434179143 0.195447818204 0.204964080605 -0.325138859262 -0.325138859262
HKPup 0.734 ab 9.884 0.004 0.252 9.854 0.004 0.257 116.195094746 -13.098977899 0.53 0.26 hkpup 0.179413377428 1886.79245283 11.378620652 1.0 99.99 99.99 99.99 -1.494620652 -1.524620652 0.30861485022 0.314809365869 0.447234099698 0.456210977394 -0.134303940084 -0.134303940084
MTTel 0.317 c 8.078 0.002 0.126 8.064 0.002 0.111 285.550321537 -46.6538409427 1.43 0.31 mttel 0.223553148043 699.300699301 9.22331981267 1.0 99.99 99.99 99.99 -1.14531981267 -1.15931981267 0.795056411566 0.804774911012 1.10250060095 1.11597719359 -0.498940737782 -0.371940737782
