HIP	TYC	VarName
1067	1179  1775 1	gam_Peg
1162	3661  1401 1	FM_Cas
1213	3665  1520 1	SY_Cas
2085	3260  1095 1	TU_Cas
2347	4015  2567 1	DL_Cas
3886	4016  1780 1	XY_Cas
5138	4017   150 1	VW_Cas
5658	4030   749 1	UZ_Cas
5846	4038    98 1	BP_Cas
7192	4035   298 1	V636_Cas
7548	3679   639 1	RW_Cas
8312	4032  1097 1	BY_Cas
8614	3696   793 1	VV_Cas
9928	3697  3120 1	VX_Per
10332	3693   128 1	UX_Per
10332	3693   588 1	UX_Per
11174	3690  2361 1	V440_Per
11420	3699  1635 1	SZ_Cas
11767	4628   237 1	alf_UMi
12387	  46  1633 1	del_Cet
12817	4047   461 1	DF_Cas
13016	3712   413 1	V792_Cas
13367	4313  1573 1	SU_Cas
16516	2874   518 1	KP_Per
18260	3729   381 1	RW_Cam
19057	3730  1047 1	RX_Cam
19978	2886   874 1	SX_Per
20202	3337   284 1	AS_Per
20354	3329  2516 1	V469_Per
20715	 668   201 1	V1143_Tau
21444	4738  1484 1	nu._Eri
21517	1270   424 1	SZ_Tau
22275	2386  1003 1	AW_Per
22445	2901  1205 1	SV_Per
23210	2898  2865 1	AN_Aur
23360	2899  2036 1	RX_Aur
23768	3738   234 1	CK_Cam
24105	3353  2359 1	BK_Aur
24281	2904   499 1	SY_Aur
24500	2900  1521 1	YZ_Aur
25642	2917   935 1	Y_Aur
26069	8883  1641 1	bet_Dor
27119	 727   818 1	ST_Tau
27183	1303   289 1	EU_Tau
27810	7066  2023 1	lam_Col
28625	1325  1333 1	RZ_Gem
28945	1872   926 1	AA_Gem
29022	 721   395 1	CS_Ori
30219	 144   341 1	SV_Mon
30286	 743  2157 1	RS_Ori
30324	5938  2918 1	bet_CMa
30541	 145   875 1	T_Mon
30827	2422  1408 1	RT_Aur
31125	6507  2920 1	ksi01_CMa
31306	 745   349 1	DX_Gem
31361	 741   430 1	BB_Gem
31404	1329  1533 1	W_Gem
31624	 150   121 1	CV_Mon
31905	 746  1480 1	BE_Mon
32180	1342   943 1	AD_Gem
32516	 156    44 1	V508_Mon
32854	4800  1874 1	TX_Mon
33014	4805   467 1	EK_Mon
33520	4801  2693 1	TZ_Mon
33791	5380  1969 1	AC_Mon
33874	4814  3228 1	V526_Mon
33971	4822  3679 1	V637_Mon
34088	1353  1550 1	zet_Gem
34421	4815  2284 1	V465_Mon
34527	5406  2572 1	TV_CMa
34895	5969  1995 1	RW_CMa
35212	5403  1583 1	RY_CMa
35665	5966  2005 1	RZ_CMa
35708	5407   288 1	TW_CMa
36088	6542  1119 1	SS_CMa
36125	6542  1048 1	VZ_CMa
36617	5987   844 1	VW_Pup
36666	5991   461 1	VX_Pup
36685	5991  2138 1	X_Pup
37174	8137  2965 1	MY_Pup
37207	6551  1703 1	VZ_Pup
37506	6544  2757 1	EK_Pup
37511	5992  2476 1	WW_Pup
37515	6544    64 1	WX_Pup
38063	6544   504 1	AD_Pup
38241	6565  1008 1	BM_Pup
38438	8553  2534 1	V372_Car
38441	5986    18 1	KZ_Pup
38569	7119  1308 1	LL_Pup
38854	6565  2877 1	LR_Pup
38907	7650  2909 1	AP_Pup
38944	6554  2433 1	WY_Pup
38965	6566   628 1	AQ_Pup
39010	6566  1131 1	LS_Pup
39144	6554    23 1	WZ_Pup
39530	8928  2987 1	V375_Car
39666	7121  1316 1	BN_Pup
