C.D.S.  -  SIMBAD4 rel 1.5.8  -  2016.10.02CEST21:48:38

 IdentList
----------

# ;typed ident;                    identifier                    ;typ;  coord1 (ICRS,J2000/2000)   ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;#bib;#not
--;-----------;--------------------------------------------------;---;-----------------------------;------;------;------;------;------;---------------;----;----
1 ;AB Uma     ;TYC 3455-362-1           V* AB UMa                ;RR*;12 11 14.58669 +47 49 43.8088;     ~;11.42 ;10.88 ;     ~;     ~;F2             ;  40;   0
2 ;AM Tuc     ;TYC 9136-229-1           V* AM Tuc                ;RR*;01 18 30.64730 -67 55 04.9522;     ~;12.00 ;11.54 ;     ~;     ~;A9.5:          ;  29;   0
3 ;AN Ser     ;TYC 951-213-1            V* AN Ser                ;RR*;15 53 31.05070 +12 57 40.1293;     ~;11.32 ;10.93 ;     ~;     ~;F0             ; 103;   0
4 ;AP Ser     ;TYC 920-20-1             V* AP Ser                ;RR*;15 14 00.922 +09 58 51.81    ;     ~;11.41 ;11.27 ;11.21 ;     ~;A9.5           ;  60;   0
5 ;AV Peg     ;TYC 2202-1379-1          V* AV Peg                ;RR*;21 52 02.79453 +22 34 29.3787;10.26 ;10.07 ; 9.87 ;     ~;     ~;F0             ; 136;   0
6 ;BH Peg     ;TYC 1698-111-1           V* BH Peg                ;RR*;22 53 01.03678 +15 47 16.5999;     ~;10.88 ;10.36 ;     ~;     ~;F2             ;  96;   0
7 ;BX Leo     ;TYC 1438-1575-1          V* BX Leo                ;RR*;11 38 02.06518 +16 32 36.1864;     ~;11.69 ;11.69 ;     ~;     ~;A6             ;  26;   0
8 ;CS Eri     ;TYC 7558-414-1           V* CS Eri                ;RR*;02 37 05.75874 -42 57 48.0588;     ~; 9.25 ; 9.03 ;     ~;     ~;A2/3(IIw)      ;  43;   0
9 ;CU Com     ;V* CU Com                                         ;RR*;12 24 46.61 +22 24 28.2      ;     ~;13.1  ;13.26 ;13.400;     ~;~              ;  21;   0
10;DH Peg     ;TYC 565-1495-1           V* DH Peg                ;RR*;22 15 25.640 +06 49 21.45    ; 9.72 ; 9.51 ; 9.25 ; 9.23 ;     ~;A4             ; 152;   0
11;DX Del     ;TYC 1097-846-1           V* DX Del                ;RR*;20 47 28.35586 +12 27 50.6919; 9.97 ; 9.79 ; 9.52 ;     ~;     ~;A7IIIv         ; 142;   0
12;HK Pup     ;TYC 5418-876-1           V* HK Pup                ;RR*;07 44 46.80188 -13 05 56.3068;     ~;11.70 ;11.41 ;     ~;     ~;~              ;  28;   0
13;MT Tel     ;TYC 8374-757-1           V* MT Tel                ;RR*;19 02 12.28034 -46 39 12.0870;     ~; 9.14 ; 8.94 ;     ~;     ~;A0w            ;  43;   0
14;RR Cet     ;TYC 28-552-1             V* RR Cet                ;RR*;01 32 08.17309 +01 20 30.2342; 9.46 ; 9.33 ; 9.15 ;     ~;     ~;A9V            ; 171;   0
15;RR Gem     ;TYC 2452-1683-1          V* RR Gem                ;RR*;07 21 33.53246 +30 52 59.4617;     ~;12.34 ;11.92 ;     ~;     ~;A8             ; 174;   0
16;RR Leo     ;TYC 1968-756-1           V* RR Leo                ;RR*;10 07 43.46008 +23 59 30.3292;10.14 ;10.01 ; 9.94 ;     ~;     ~;F0             ; 153;   0
17;RR Lyr     ;TYC 3142-494-1           V* RR Lyr                ;RR*;19 25 27.91285 +42 47 03.6942;     ~; 7.36 ; 7.06 ; 7.6  ; 7.4  ;A8-F7          ; 822;   0
